Job Title,Hourly Rate
Pol Capt - Traffic,113.75
Pol Capt - Violent Crime,113.9
Pol Capt-Precinct,112.7
Pol Data Tech,43.54
Pol Data Tech *,39.04
Pol Data Tech Supv,50.825
Pol Data Tech Trne,33.17
"Pol Data Tech,Sr",46.13
Pol Lieut,90.63
Pol Lieut-CRG,88.96
Pol Lieut-WC,89.81
Pol Lieut-WC BWV,88.07
Pol Ofcr- Student,42.96
Pol Ofcr-Academy Instructor,59.27
Pol Ofcr-BWV,50.03
Pol Ofcr-Canine,61.36
Pol Ofcr-Canine-BWV,60.84
Pol Ofcr-Det-Non Patrl-BWV,58.75
Pol Ofcr-Detective,57.7
Pol Ofcr-Detective-Bomb Squad,62.415
Pol Ofcr-Detective-CSI,59.8
Pol Ofcr-Detective-FIT,58.75
Pol Ofcr-Detective-Homicide,60.85
Pol Ofcr-Detective-Patrol,60.32
Pol Ofcr-Detective-Patrol-BWV,62.94
Pol Ofcr-Diver-BWV,62.41
Pol Ofcr-Hostage Neg-Patrl-BWV,58.22
Pol Ofcr-Motorcycle-BWV,61.36
Pol Ofcr-Non Patrol,58.49
Pol Ofcr-Patrl,59.01
Pol Ofcr-Patrl-BWV,55.34
Pol Ofcr-SWAT-BWV,60.84
Pol Recruit,36.69
Pol Sgt-Academy Instructor,65.78
Pol Sgt-Canine-BWV,70.01
Pol Sgt-Det-Non Patrol-BWV,65.575
Pol Sgt-Detective-Bomb Squad,71.21000000000001
Pol Sgt-Detective-CSI,68.8
Pol Sgt-Detective-FIT,67.59
Pol Sgt-Detective-Homicide,67.59
Pol Sgt-Detective-Non Patrol,66.38
Pol Sgt-Detective-Patrol,66.38
Pol Sgt-Detective-Patrol-BWV,69.1
Pol Sgt-Diver-BWV,74.24
Pol Sgt-Hostage Neg-Patrl-BWV,70.01
Pol Sgt-Motorcycle-BWV,70.01
Pol Sgt-Patrl,68.2
Pol Sgt-Patrl-BWV,69.11
Pol Sgt-SWAT-BWV,68.5
Pole Yard CC,50.71
Pool Maint Lead Wkr,40.02
Pool Maint Wkr,36.04
Pool Maint Wkr *,33.44
Pressure Systs Inspector(J),55.05
Prgm Coord,42.52
Prgm Intake Rep,40.61
Prgm Intake Rep *,37.63
"Prgm Intake Rep,Sr",42.57
Prjt Fund&Agreemts Coord,47.56
Prjt Fund&Agreemts Coord *,49.32
"Prjt Fund&Agreemts Coord,Sr",56.39
Project&Ops Lead,57.56
Property Mgmt Spec,59.62
Property Rehab Spec,47.08
Property Rehab Supv,55.06
Prot&Cntrl Elctn CC,79.74
Prot&Cntrl Elctn II,70.88
Prot&Cntrl Elctn-In chg,74.65
Publc Ed Prgm Spec,45.22
Publc Relations Spec,40.71
Publc Relations Spec *,37.82
Publc Relations Spec BU,43.98
Publc Relations Spec BU *,37.82
"Publc Relations Spec,Sr",47.56
"Publc Relations Spec,Sr *",47.56
Publc Relations Supv,52.205
"Publc/Cultural Prgms Spec,Sr",51.22
Public Records Coordinator,40.15
Public Svcs Prgm Mgr,54.15
Pwr Anlyst,58.605000000000004
"Pwr Anlyst,Asst",48.08
"Pwr Anlyst,Sr",65.095
Pwr Dispatcher,84.37
"Pwr Dispatcher,Sr",90.59
Pwr Marketer,84.0
Pwr Marketer*,83.4
Pwr Marketer-BU,72.5893
Pwr Structs Mechanic,47.62
Pwr Structs Mechanic CC,54.6
Pwr Supply Engr,94.36
Pwrline Clear Coord,69.6
Pwrline Clear Tree Trimmer,53.06
Pwrline Clear Tree Trimmer-JIC,56.15
Radio Dispatcher,34.4
"Rates Mgmt Anlyst,Sr",63.15
Real Property Agent,47.99
"Real Property Agent,Sr",64.04
Rec Attendant,31.83
Rec Attendant *,27.09
Rec Cntr Coord,51.23
"Rec Cntr Coord,Asst",43.21
Rec Leader,34.35
Rec Leader *,31.63
Rec Prgm Coord,49.09
"Rec Prgm Coord,Sr",51.22
Rec Prgm Spec,45.44
"Rec Prgm Spec,Sr",48.11
Registered Nurse Consultant,53.01
Remittance Proc Tech,31.85
Res Aide *,24.98
Res&Eval Asst,41.52
Res&Eval Asst-BU,41.52
Res&Eval Asst-BU *,37.07
Retirement Spec,48.37
"Retirement Spec,Asst",44.0
Rights-Of-Way Maint Lead Wkr,43.6
Rights-Of-Way Maint Wkr,38.84
Risk Mgmt Anlyst,49.32
SPU General Mgr&CEO,149.968
Safety & Health Manager,53.19
Scale Attendant,32.14
Seattle Conserv Corps Supv,37.39
"Seattle Conserv Corps Supv,Sr",40.765
Seattle Police Chief,162.769
Security Ofcr,35.08
Security Ofcr *,31.89
"Security Ofcr,Lead-Library",46.125
"Security Ofcr,Sr",44.8
Security Ofcr-Library,41.78
Security Operations Analyst,52.04
Security Prgms Spec,52.23
Security Svcs Supv,53.25
Selection Svcs Librn,58.27
Sfty&Hlth Spec,48.11
"Sfty&Hlth Spec,Sr",54.9
"Sfty&Hlth Spec,Sr *",51.48
"Sfty&Hlth Spec,Sr-BU",55.98
Sfty&Hlth Spec-BU,55.98
Sfty&Hlth Supv,64.25
SharePoint Online Administratr,72.46
Shop Opns Supv,58.65
Sign Pntr,46.16
Sign Pntr CC,52.97
"Sign Pntr,Sr",48.26
Signal Elctn CC,61.15
"Signal Elctn,Journey-Level",56.52
Site Dev Insp,58.85
Solid Wst Fld Rep Supv,58.33
"Solid Wst Fld Rep,Lead",53.45
Sound Op *,46.36
Sound Systs Chief,53.42
Sound&Video Equip Tech,48.08
Sound&Video Equip Tech *,46.36
Sr Libr,57.26
Stage CC,51.96
Stage Tech *,40.94
"Stage Tech,Lead",44.13
Stat Maint Mach,42.38
Stat Maint Mach *,40.65
Stat Maint Mach CC,48.36
"Stat Maint Mach,Sr",45.03
Store Clerk,29.83
Store Keeper,40.02
StratAdvsr-Audit - BU,73.878
StratAdvsr-Legislative,58.198
StratAdvsr-Legislative - BU,72.40899999999999
StratAdvsr1 *,59.723
StratAdvsr1 BU-L21*,54.043000000000006
"StratAdvsr1,CL&PS-L17",55.96
"StratAdvsr1,CSPI&P",66.653
"StratAdvsr1,CSPI&P BU-L21",61.61
"StratAdvsr1,CSPI&P-BU",60.375
"StratAdvsr1,Engrng&Plans Rev",66.932
"StratAdvsr1,Engrng&PlansRevL21",65.826
"StratAdvsr1,Exempt",60.0975
"StratAdvsr1,Exempt BU-L21",57.2
"StratAdvsr1,Exempt-P",53.0
"StratAdvsr1,Fin,Bud,&Actg",67.143
"StratAdvsr1,Fin,Bud,&Actg-L21",57.661
"StratAdvsr1,Fin,Bud,&Actg-L21C",59.17775
"StratAdvsr1,Fin,Bud,&Actg-P",60.0
"StratAdvsr1,General Govt",62.966499999999996
"StratAdvsr1,General Govt L21",53.941
"StratAdvsr1,General Govt-L17",60.548
"StratAdvsr1,General Govt-L21C",59.6319
"StratAdvsr1,General Govt-P",50.775
"StratAdvsr1,Human Svcs",56.9855
"StratAdvsr1,Human Svcs-L17",64.113
"StratAdvsr1,Info Technol",62.401
"StratAdvsr1,P&FM",63.5805
"StratAdvsr1,PC&RM",61.432
"StratAdvsr1,PC&RM BU-L21",57.845
"StratAdvsr1,Parks&Rec",58.1
"StratAdvsr1,Utils",68.87105
"StratAdvsr1,Utils BU-L21",57.05
"StratAdvsr1,Utils-BU L21C",60.600899999999996
StratAdvsr1-BU L21C *,58.8
StratAdvsr1-L17 *,55.96
StratAdvsr1-P *,45.0
StratAdvsr2 *,67.832
StratAdvsr2 BU-L21 *,65.142
"StratAdvsr2,CL&PS",71.7765
"StratAdvsr2,CL&PS-L17",64.65549999999999
"StratAdvsr2,CSPI& L21C",64.42654999999999
"StratAdvsr2,CSPI&P",70.005
"StratAdvsr2,CSPI&P BU-L21",66.274
"StratAdvsr2,Engrng&Plans Rev",73.0995
"StratAdvsr2,Engrng&PlansRevL21",70.673
"StratAdvsr2,Exempt",69.414
"StratAdvsr2,Exempt BU-L21",62.548
"StratAdvsr2,Exempt-BU L21C",75.39
"StratAdvsr2,Exempt-P",61.08
"StratAdvsr2,Fin,Bud,&Actg",71.1575
"StratAdvsr2,Fin,Bud,&Actg L21",67.203
"StratAdvsr2,Fin,Bud,&Actg-L21C",75.39
"StratAdvsr2,Fin,Bug,&Actg-L17",60.865
"StratAdvsr2,General Govt",73.096
"StratAdvsr2,General Govt L21",68.5115
"StratAdvsr2,General Govt-L17",71.321
"StratAdvsr2,General Govt-L21C",68.42415
"StratAdvsr2,General Govt-P",60.0
"StratAdvsr2,Human Svcs",68.107
"StratAdvsr2,Info Technol",71.321
"StratAdvsr2,Info Technol-L21C",66.38665
"StratAdvsr2,P&FM",73.516
"StratAdvsr2,P&FM BU-L21",66.468
"StratAdvsr2,PC&RM",74.478
"StratAdvsr2,PC&RM-L12C",70.2165
"StratAdvsr2,Parks&Rec",69.039
"StratAdvsr2,Utils",75.39
"StratAdvsr2,Utils L21",66.0
"StratAdvsr2,Utils-L21C",71.7131
StratAdvsr2-L21C *,64.9425
StratAdvsr2-P *,62.8615
StratAdvsr3 *,72.7315
"StratAdvsr3,CL&PS",83.48949999999999
"StratAdvsr3,CL&PS-L17",65.649
"StratAdvsr3,CSPI&P",83.26
"StratAdvsr3,Engrng&Plans Rev",85.9395
"StratAdvsr3,Exempt",82.196
"StratAdvsr3,Exempt-L21C",82.45
"StratAdvsr3,Fin,Bud,&Actg",83.519
"StratAdvsr3,General Govt",82.196
"StratAdvsr3,General Govt L21",76.98150000000001
"StratAdvsr3,General Govt-L21C",82.45
"StratAdvsr3,Info Technol",82.58099999999999
"StratAdvsr3,Info Technol L21",78.528
"StratAdvsr3,Info Technol-L21C",79.2244
"StratAdvsr3,PC&RM-L21C",82.45
"StratAdvsr3,Utils BU L21",69.0
"StratAdvsr3,Utils-L21C",82.1876
"Strategy&Policy Advsr, CLO",65.98
Street Maint CC,47.09
Street Maint Supv,50.79
Street Paving CC,47.87
Strucl Iron Wkr,54.6
Strucl Plans Engr,69.98
Strucl Plans Engr Supv,78.91499999999999
"Strucl Plans Engr,Sr",76.7
Strucl Pntr,47.77
Strucl Pntr *,45.99
Strucl Pntr CC,54.9
Student Accountant Intern *,27.19
Student Asst,22.38
Student Engr Intern *,27.35
Supply&Inventory Tech,31.85
"Surveyor,Chief",74.31
"Systs Anlyst 1,Sr-Libr",70.84
"Systs Anlyst 2,Sr-Libr",72.46
Systs Librn,74.11
Tax Auditor,50.93
"Tax Auditor,Asst",43.115
Technical Writer,44.655
Technical Writer*,42.14
Telecom Syst Installer,39.9
"Telecom Syst Installer,Sr",45.15
Temp Emplmnt Spec,47.56
Tennis Instructor,39.47
Tennis Instructor *,34.02
Traffic Sign&Marking CC I,47.09
Traffic Sign&Marking CC II,51.79
Traffic Sign&Marking Lead Wkr,38.84
Trans Line CC,69.6
Transmission CC-WDM II,55.76
"Transp Plnr,Assoc",51.94
"Transp Plnr,Assoc *",52.985
"Transp Plnr,Sr",60.7
"Transp Plnr,Sr *",58.37
Treasury Cashier,46.71
"Treasury Cashier,Sr",43.97
Tree Trimmer,39.45
"Tree Trimmer,Lead",43.09
Trng & Dev Mgr,48.73
Trng&Ed Coord,45.71
Trng&Ed Coord *,47.56
"Trng&Ed Coord,Asst",35.765
"Trng&Ed Coord,Sr",51.22
"Trng&Ed Coord,Sr *",45.71
"Trng&Ed Coord,Sr -BU",51.22
Truck Drvr,38.91
"Truck Drvr,Heavy",40.92
Usher *,24.99
"Usher,Head",36.52
Util Act Rep I,33.71
Util Act Rep II,40.1
Util Act Rep Supv I,45.28
Util Act Rep Supv II,52.71
Util Act Rep Trne,30.72
Util Acts Supv,45.71
Util Astnce Supv,53.01
Util Constr Lead Wkr,40.92
Util Constr Wkr,37.69
Util Laborer,31.85
Util Laborer *,31.85
"Util Maint Spec,Sr-SPU",47.23
Util Maint Spec-SPU,44.63
Util Maint Supv,53.78
Util Svc Inspector,48.34
Util Svc Inspector*,41.41
"Util Svc Inspector,Sr",51.97
Util Svc Rep,43.6
Util Svc Rep *,38.89
Util Systs Maint Tech,34.56
Util Systs Maint Tech *,34.56
Veterinary Assistant,27.35
Veterinary Assistant *,27.35
Veterinary Tech,33.16
"Veterinary Tech,Sr",40.41
Victim Advocate BU,40.89
Victim Advocate BU *,37.87
Victim Advocate Supv,48.39
Video Spec I *,36.37
Video Spec II,51.22
Video Spec II BU,51.22
Video Spec II BU *,45.71
Volunteer Prgms Coord,44.47
Volunteer Prgms Coord *,42.78
"Warehouse Supv,General",51.22
"Warehouser,Chief",47.08
"Warehouser,Sr-BU",40.38
"Warehouser,Sr-BU *",38.92
Warehouser-BU,36.7
Web Developer I,43.04
Web Development Manager,56.24
Work Trng Enrollee *,19.97
"Work Trng Enrollee,Tier II *",21.21
Workers' Comp Anlyst,47.56
"Workers' Comp Anlyst,Sr",52.2
Workers' Comp Spec,40.71
Wtr Laboratory Tech,36.25
Wtr Laboratory Tech *,32.37
Wtr Meter Repairer,38.97
Wtr Pipe CC,55.24
Wtr Pipe CC-WDM II,55.76
Wtr Pipe Hlpr,35.05
Wtr Pipe Wkr,43.39
Wtr Pipe Wkr Aprn,37.99
Wtr Pipe Wkr Sr-WDM II,48.38
"Wtr Pipe Wkr,Sr",46.54
Wtr Pipe Wkr-WDM I,44.26
Wtr Quality Anlyst,47.555
"Wtr Quality Anlyst,Asst",45.64
"Wtr Quality Anlyst,Sr",53.94
"Wtr Quality Anlyst,Sr *",43.98
"Wtr Quality Anlyst,Supv",58.88
Wtr Quality Engr,65.34
"Wtr Quality Engr,Sr",74.05
Wtr Syst Op,55.58
"Wtr Syst Op,Sr",58.86
Wtr Treatment CC,52.19
Wtr Treatment Equip Tech,47.59
Wtr Treatment Equip Tech *,43.92
Wtr Treatment Op,37.17
Wtr Treatment Op *,35.78
"Wtr Treatment Op,Sr",45.06
Wtrshed Inspector,40.95
Wtrshed Inspector *,37.95
"Wtrshed Inspector,Sr",47.98
Wtrshed Resources Tech,49.02
Wtrshed Resources Tech *,42.04
Yth Supv I *,23.09
